
Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
1,San Antonio Spurs,W,SW,67,15,.817,10.63,111.04,99.55,11.49,10.28,110.59,99.49,11.10
2,Golden State Warriors,W,P,73,9,.890,10.76,115.18,104.32,10.86,10.38,115.01,104.53,10.49
3,Oklahoma City Thunder,W,NW,55,27,.671,7.28,113.76,106.22,7.54,7.09,113.64,106.29,7.35
4,Cleveland Cavaliers,E,C,57,25,.695,5.99,111.80,105.32,6.48,5.44,111.75,105.85,5.90
5,Toronto Raptors,E,A,56,26,.683,4.50,111.11,106.16,4.95,4.08,111.18,106.68,4.50
6,Los Angeles Clippers,W,P,53,29,.646,4.28,109.04,104.57,4.47,4.13,108.69,104.39,4.31
7,Atlanta Hawks,E,SE,48,34,.585,3.61,105.75,102.00,3.75,3.49,105.74,102.12,3.62
8,Boston Celtics,E,A,48,34,.585,3.21,107.30,104.10,3.20,2.84,107.24,104.43,2.81
9,Charlotte Hornets,E,SE,48,34,.585,2.72,107.72,105.01,2.71,2.36,107.67,105.33,2.34
10,Utah Jazz,W,NW,40,42,.488,1.80,106.83,104.78,2.04,1.86,106.57,104.48,2.09
11,Indiana Pacers,E,C,45,37,.549,1.71,105.28,103.51,1.77,1.62,105.26,103.58,1.68
12,Miami Heat,E,SE,48,34,.585,1.65,107.01,105.34,1.67,1.50,107.08,105.56,1.52
13,Portland Trail Blazers,W,NW,44,38,.537,0.83,109.55,108.67,0.88,0.98,109.48,108.45,1.03
14,Detroit Pistons,E,C,44,38,.537,0.61,106.78,106.19,0.59,0.43,106.88,106.48,0.40
15,Houston Rockets,W,SW,41,41,.500,0.20,109.23,109.10,0.13,0.34,109.26,108.96,0.30
16,Dallas Mavericks,W,SW,42,40,.512,-0.30,107.29,107.48,-0.19,-0.02,107.24,107.13,0.11
17,Washington Wizards,E,SE,41,41,.500,-0.50,106.09,106.48,-0.39,-0.49,106.23,106.62,-0.39
18,Chicago Bulls,E,C,42,40,.512,-1.48,105.85,107.28,-1.43,-1.46,106.02,107.44,-1.42
19,Orlando Magic,E,SE,35,47,.427,-1.62,105.73,107.47,-1.74,-1.68,105.89,107.70,-1.80
20,Memphis Grizzlies,W,SW,42,40,.512,-2.24,106.36,108.69,-2.33,-2.13,106.23,108.45,-2.22
21,Sacramento Kings,W,P,33,49,.402,-2.48,106.57,109.07,-2.50,-2.31,106.44,108.77,-2.33
22,Denver Nuggets,W,NW,33,49,.402,-3.10,106.22,109.47,-3.25,-2.81,106.24,109.17,-2.94
23,New York Knicks,E,A,32,50,.390,-2.73,105.41,108.43,-3.03,-2.73,105.55,108.58,-3.02
24,New Orleans Pelicans,W,SW,30,52,.366,-3.79,106.27,110.17,-3.89,-3.55,106.32,109.96,-3.63
25,Minnesota Timberwolves,W,NW,29,53,.354,-3.54,107.17,111.02,-3.86,-3.38,107.17,110.86,-3.68
26,Milwaukee Bucks,E,C,33,49,.402,-4.18,105.06,109.65,-4.59,-3.98,105.32,109.69,-4.37
27,Phoenix Suns,W,P,23,59,.280,-6.66,102.94,109.80,-6.86,-6.32,102.95,109.45,-6.50
28,Brooklyn Nets,E,A,21,61,.256,-7.35,103.74,111.60,-7.86,-7.11,104.06,111.66,-7.61
29,Los Angeles Lakers,W,P,17,65,.207,-9.56,102.29,112.40,-10.12,-8.92,102.49,111.92,-9.43
30,Philadelphia 76ers,E,A,10,72,.122,-10.23,99.65,110.15,-10.50,-9.92,99.83,110.01,-10.18
